Observation,Sol,NoParenSol,Target_Name,Silicon_Oxide(SiO2),RMSE_Silicon_Oxide,Silicon_Oxide_StDEV,Titanium_Oxide(TiO2),RMSE_Titanium_Oxide,Titanium_Oxide_StDEV,Aluminum_Oxide(AI2O3),RMSE_Aluminum_Oxide,Aluminum_Oxide_StDEV,Iron_Oxides_Total(FeOT),RMSE_Iron_Oxide_Total,Iron_Oxide_Total_StDEV,Magnesium_Oxide(MgO),RMSE_Magnesium_Oxide,Magnesium_Oxide_StDEV,Calcium_Oxide(CaO),RMSE_Calcium_Oxide,Calcium_Oxide_StDEV,Sodium_Oxide(Na2O),RMSE_Sodium_Oxide,Sodium_Oxide_StDEV,Potassium_Oxide(K2O),RMSE_Potassium_Oxide,Potassium_Oxide_StDEV,Sum_of_Oxides,Distance_Rover_m,Spectrum_Total
CL5_398645626CCS_F0030004CCAM02013P3.CSV,13,13,Coronation,45.8,5,0.4,0.97,0.49,0.02,11.6,3.6,0.5,17.9,3.9,0.3,4,1.7,0.1,8.4,2.6,0.2,3.79,0.67,0.18,0.66,0.72,0.03,93.11,2.70011,1.02E+15
CL5_398646038CCS_F0030004CCAM03013P3.CSV,13,13,NAu-2_Med-S,40,5.5,0.7,0.63,0.4,0.01,6.3,3.2,0.1,17.2,3.7,0.1,1.9,1.6,0.2,15,3.4,0.6,1.03,0.57,0.03,0.17,0.55,0.01,82.14,1.58076,4.12E+14
CL5_398737278CCS_F0030004CCAM02014P3.CSV,14,14,Goulburn_3,47.4,4.9,3.5,7.24,3.29,4.15,22.3,3.8,2.5,15.9,3.5,3.8,4.4,1.8,0.3,3.7,1.4,0.6,3.31,0.64,0.25,0.97,0.85,0.2,105.25,5.95906,2.10E+14
CL5_398825061CCS_F0030004CCAM01015P3.CSV,15,15,Goulburn_4,45.7,5,1.4,0.98,0.49,0.18,19.1,3.7,3.8,26.4,4.8,6.4,1.4,1.5,0.6,4.4,1.5,1.5,4.86,0.86,0.97,0.59,0.69,0.16,103.34,5.81117,5.17E+14
CL5_398825848CCS_F0030004CCAM03015P3.CSV,15,15,Stark,74.1,5.5,2,0.6,0.39,0.06,9.7,3.5,0.2,0.3,1.6,1.6,1.7,1.5,0.5,2.3,1,0.4,5.26,0.94,0.41,1.07,0.9,0.18,95.09,3.27253,2.71E+14
CL5_398826553CCS_F0030004CCAM05015P3.CSV,15,15,Mara,54.6,5.1,0.4,0.77,0.44,0.01,21.2,3.7,0.3,8.8,2.5,0.6,1.1,1.5,0.1,7.3,2.3,0.1,6.55,1.08,0.07,1.26,0.97,0.09,101.58,4.16691,2.61E+14
CL5_399178818CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,51.5,5,0.5,0.82,0.45,0.02,17.4,3.7,0.3,12.9,3.1,0.5,1.5,1.5,0.1,8.4,2.6,0.2,5.52,0.97,0.18,0.95,0.85,0.08,99.06,3.10065,6.37E+14
CL5_399178879CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,48.3,4.9,0.4,0.7,0.42,0.01,16.2,3.7,0.5,16.6,3.6,0.3,2.7,1.6,0.1,8.2,2.6,0.3,4.47,0.78,0.14,0.67,0.73,0.03,97.86,3.10065,7.51E+14
CL5_399178941CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,45.6,5,1.9,0.98,0.49,0.04,6.6,3.3,0.3,23.3,4.6,1.6,4.6,1.8,0.2,4.9,1.7,1,2.77,0.61,0.09,0.23,0.57,0.05,89.01,3.10065,1.32E+15
CL5_399179003CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,50,5,0.3,0.9,0.47,0.01,17.7,3.7,0.2,13.5,3.2,0.4,1.6,1.5,0.2,9.6,2.8,0.2,5.19,0.93,0.14,0.75,0.76,0.03,99.37,3.10065,7.65E+14
CL5_399179065CCS_F0030078CCAM01019P3.CSV,19,19,Mara_1,51.3,5,1.1,2.21,0.82,0.23,12.4,3.6,0.5,16.9,3.7,0.7,2.4,1.6,0.1,8,2.5,0.9,4.25,0.73,0.12,0.93,0.84,0.05,98.36,3.10065,8.72E+14
CL5_399179536CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,50.3,5,0.8,1.05,0.5,0.1,21.7,3.8,0.7,5.8,2.1,1,2.6,1.6,0.3,4.7,1.6,0.9,4.22,0.73,0.31,1.3,0.99,0.13,91.74,5.02842,1.37E+14
CL5_399179597CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,53.8,5.1,2.7,0.49,0.35,0.06,18.5,3.7,1.3,8.1,2.4,3.2,5.7,1.9,1.6,4.1,1.4,0.7,3.41,0.65,0.77,0.77,0.77,0.13,94.86,5.02842,1.91E+14
CL5_399179658CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,53.1,5.1,1.1,0.86,0.46,0.16,22.6,3.8,1,4.5,1.9,1.3,1.6,1.5,0.3,6.9,2.2,0.9,5.35,0.95,0.16,2.03,1.17,0.39,96.95,5.02842,1.22E+14
CL5_399179780CCS_F0030078CCAM02019P3.CSV,19,19,Goulburn_7,47.7,4.9,1.3,0.74,0.43,0.02,26.9,4,1.3,2.2,1.7,2,0.8,1.5,0.4,10.3,2.9,0.3,6.34,1.06,0.16,1.22,0.96,0.14,96.13,5.02842,9.23E+13
CL5_399180289CCS_F0030078CCAM15305P3.CSV,305,305,Peacock_Hills,45.4,5,1.5,1.33,0.57,0.09,19.9,3.7,1.2,21.1,4.4,2.1,1.8,1.5,0.6,6.7,2.2,0.5,4.9,0.87,0.48,0.74,0.76,0.11,101.79,5.28875,2.25E+14
CL5_399180779CCS_F0030078CCAM03019P3.CSV,19,19,Beechey,47.2,5,1.8,1,0.49,0.09,12.6,3.6,1.4,19.1,4.1,0.7,5.6,1.9,0.2,7.2,2.3,0.3,3.45,0.65,0.37,0.53,0.67,0.07,96.67,3.5574,4.69E+14
CL5_399180841CCS_F0030078CCAM03019P3.CSV,19,19,Beechey,51.2,5,0.8,0.73,0.43,0.01,20,3.7,0.4,11.4,2.9,0.7,1,1.5,0.1,9.1,2.7,0.2,5.53,0.97,0.11,0.44,0.64,0.05,99.44,3.5574,2.70E+14
CL5_399180903CCS_F0030078CCAM03019P3.CSV,19,19,Beechey,46.9,5,3.5,0.71,0.42,0.12,14.8,3.6,1.5,15.1,3.4,2.7,5.4,1.9,2,8.1,2.5,0.5,3.53,0.65,0.63,0.45,0.64,0.08,95.01,3.5574,7.95E+13
CL5_399180965CCS_F0030078CCAM03019P3.CSV,19,19,Beechey,49.7,5,2.1,0.69,0.42,0.08,18.4,3.7,2.7,14.3,3.3,1.8,5.3,1.9,1,9.5,2.8,0.9,4.27,0.74,0.68,0.61,0.7,0.13,102.73,3.5574,1.67E+14
CL5_399181027CCS_F0030078CCAM03019P3.CSV,19,19,Beechey,56.2,5.2,1,0.74,0.43,0.03,16.4,3.7,0.7,14.2,3.3,1.5,2.8,1.6,0.6,6.7,2.2,0.9,5.38,0.96,0.36,1.26,0.97,0.13,103.7,3.5574,2.44E+14
CL5_399181483CCS_F0030078CCAM04019P3.CSV,19,19,Goulburn_8,54,5.1,1.9,1.92,0.73,2.06,21.1,3.7,1.1,7.8,2.4,1.2,3.2,1.7,0.3,8.2,2.6,2.2,2.69,0.61,0.33,0.28,0.58,0.06,99.18,4.95266,3.30E+14
CL5_399444150CCS_F0030100CCAM01022P3.CSV,22,22,Thor_Lake,46.4,5,1.3,0.7,0.42,0.02,6.6,3.3,0.2,18.7,4,0.3,6.2,2,0.2,15.2,3.4,0.5,2.16,0.62,0.1,0.39,0.62,0.04,96.44,5.31814,5.12E+14
CL5_399444255CCS_F0030100CCAM01022P3.CSV,22,22,Thor_Lake,54.3,5.1,0.8,0.2,0.25,0.03,25.1,3.9,0.4,0.3,1.6,0.9,0.4,1.4,0.1,7.9,2.5,0.2,7.76,1.22,0.15,1.01,0.87,0.07,97.01,5.31814,2.20E+14
CL5_399444360CCS_F0030100CCAM01022P3.CSV,22,22,Thor_Lake,53.3,5.1,0.7,0.82,0.45,0.03,24.6,3.9,0.3,2.7,1.8,1,0.5,1.5,0.1,9.3,2.8,0.3,7.26,1.16,0.16,1.66,1.1,0.07,100.11,5.31814,2.82E+14
CL5_399444466CCS_F0030100CCAM01022P3.CSV,22,22,Thor_Lake,53.8,5.1,0.7,0.79,0.45,0.02,22.1,3.8,0.4,9.5,2.6,0.4,1,1.5,0.1,5.3,1.8,0.2,6.99,1.13,0.11,1.48,1.05,0.06,100.8,5.31814,2.85E+14
CL5_399444571CCS_F0030100CCAM01022P3.CSV,22,22,Thor_Lake,39.4,5.5,0.6,10.06,4.64,0.19,7,3.3,0.1,24,4.6,0.7,2.9,1.6,0.1,1.6,0.9,0.1,2.44,0.61,0.09,0.34,0.6,0.03,87.77,5.31814,1.21E+15
CL5_399444977CCS_F0030100CCAM02022P3.CSV,22,22,Preble,63.4,5.3,0.9,0.75,0.44,0.11,11.9,3.6,0.7,10.4,2.7,0.6,1.4,1.5,0.1,5.8,1.9,0.3,4.88,0.86,0.16,0.95,0.85,0.07,99.47,2.68065,3.70E+14
CL5_399445076CCS_F0030100CCAM02022P3.CSV,22,22,Preble,72.3,5.5,1.3,0.74,0.43,0.2,19.7,3.7,2.3,0.8,1.6,0.6,0.6,1.5,0.1,0.4,0.8,0.1,5.21,0.93,0.21,3.82,1.2,0.19,103.61,2.68065,2.34E+14
CL5_399445175CCS_F0030100CCAM02022P3.CSV,22,22,Preble,61.1,5.3,0.8,0.93,0.48,0.11,14.4,3.6,0.8,13.7,3.2,0.8,1.3,1.5,0.2,4.5,1.5,0.2,4.99,0.89,0.15,0.88,0.82,0.05,101.96,2.68065,3.45E+14
CL5_399445274CCS_F0030100CCAM02022P3.CSV,22,22,Preble,44.7,5,0.7,1.5,0.62,0.12,2.7,2.7,0.1,26.9,4.8,1.1,3,1.6,0.1,0.8,0.9,0,1.81,0.64,0.09,0.36,0.61,0.04,81.67,2.68065,1.08E+15
CL5_399445373CCS_F0030100CCAM02022P3.CSV,22,22,Preble,54.4,5.1,0.7,2.43,0.91,0.43,11,3.5,0.4,14.7,3.3,0.9,1.7,1.5,0.1,2.5,1.1,0.2,4.57,0.8,0.18,1.25,0.97,0.08,92.6,2.68065,5.49E+14
CL5_399445756CCS_F0030100CCAM03022P3.CSV,22,22,Murky,50.3,5,1.3,1.04,0.5,0.08,16.9,3.7,1.1,19,4.1,1.3,3.1,1.7,0.8,4.5,1.6,0.5,4.44,0.77,0.34,0.97,0.85,0.15,100.25,3.33942,3.02E+14
CL5_399445857CCS_F0030100CCAM03022P3.CSV,22,22,Murky,55,5.1,0.2,0.24,0.26,0.26,24.6,3.9,0.7,0.2,1.6,0.5,1.1,1.5,0.2,10.5,3,0.1,6.04,1.03,0.11,0.48,0.65,0.06,98.26,3.33942,2.83E+14
CL5_399445956CCS_F0030100CCAM03022P3.CSV,22,22,Murky,47.8,4.9,0.8,1.14,0.52,0.07,10.6,3.5,0.3,19.6,4.2,0.3,7.7,2.2,0.2,6.2,2,0.1,2.98,0.62,0.08,0.71,0.74,0.06,96.77,3.33942,5.66E+14
CL5_399446055CCS_F0030100CCAM03022P3.CSV,22,22,Murky,54.7,5.1,0.6,0.79,0.45,0.01,20.2,3.7,2.6,10.1,2.7,4.3,1.4,1.5,0.5,8.8,2.7,1.2,5.96,1.02,0.66,0.41,0.63,0.09,102.4,3.33942,2.47E+14
CL5_399446154CCS_F0030100CCAM03022P3.CSV,22,22,Murky,39.3,5.6,3.4,0.79,0.45,0.14,7.6,3.4,1.5,19.8,4.2,3.5,11.9,2.9,4.3,5.8,1.9,1.5,1.74,0.64,0.3,0.17,0.55,0.08,87.06,3.33942,3.87E+14
CL5_399888098CCS_F0030530CCAM01027P3.CSV,27,27,NAu-2_Hi-S,39.9,5.5,1.9,0.68,0.42,0.01,5,3,0.3,14.6,3.3,1.6,2.7,1.6,0.2,12.9,3.2,1.5,0.92,0.54,0.03,0.11,0.53,0.01,76.92,1.59476,2.58E+14
CL5_399888385CCS_F0030530CCAM01027P3.CSV,27,27,NAu-2_Med-S,44.7,5,0.6,0.71,0.42,0.05,6.8,3.3,0.2,14.3,3.3,1.5,2.5,1.6,0.1,11.3,3.1,0.7,1.12,0.59,0.06,0.28,0.58,0.01,81.72,1.59007,2.08E+14
CL5_399888672CCS_F0030530CCAM01027P3.CSV,27,27,NAu-2_Low-S,49.7,5,0.9,0.69,0.42,0.01,7.5,3.4,0.1,15.2,3.4,1.7,2.9,1.6,0.2,7.4,2.4,0.3,1.47,0.64,0.03,0.47,0.65,0.01,85.33,1.59032,2.11E+14
CL5_399888959CCS_F0030530CCAM01027P3.CSV,27,27,Kga-d_Med-S,42.2,5.2,0.8,1.25,0.55,0.14,19.7,3.7,0.7,10.5,2.7,0.7,3.7,1.7,0.3,14.8,3.4,0.6,1.17,0.6,0.08,0.26,0.58,0.02,93.64,1.58859,2.04E+14
CL5_399889564CCS_F0030530CCAM01027P3.CSV,27,27,Shergottite,45.6,5,1.2,0.52,0.36,0.09,12.3,3.6,0.2,15.8,3.5,0.6,5.2,1.9,0.1,14.6,3.4,0.3,2.49,0.61,0.55,0.23,0.57,0.15,96.65,1.58958,1.12E+14
CL5_399889851CCS_F0030530CCAM01027P3.CSV,27,27,Picrite,42.7,5.2,0.9,0.71,0.42,0.01,12.6,3.6,0.4,17.5,3.8,0.2,9.5,2.5,0.2,7.6,2.4,0.3,3.92,0.69,0.21,0.18,0.55,0.05,94.74,1.58884,2.00E+14
CL5_399890138CCS_F0030530CCAM01027P3.CSV,27,27,Norite,42.5,5.2,0.4,0.81,0.45,0.01,14.8,3.6,0.2,16.1,3.6,0.2,7.5,2.2,0.1,12.9,3.2,0.2,1.68,0.65,0.1,0.02,0.51,0,96.34,1.58761,1.43E+14
CL5_399890957CCS_F0030530CCAM02027P3.CSV,27,27,Link,51.2,5,1.5,0.88,0.47,0.08,20.9,3.7,0.9,9.2,2.5,2.7,1.2,1.5,0.1,5.5,1.8,0.6,3.69,0.67,0.26,1.83,1.14,0.19,94.31,2.67583,3.91E+14
CL5_399891054CCS_F0030530CCAM02027P3.CSV,27,27,Link,52.5,5,2.3,0.9,0.47,0.16,20.2,3.7,0.8,8.9,2.5,4,1,1.5,0.2,5.5,1.9,0.4,4.11,0.71,0.52,1.32,1,0.17,94.53,2.67583,4.45E+14
CL5_399891150CCS_F0030530CCAM02027P3.CSV,27,27,Link,48.7,4.9,1.1,0.95,0.48,0.04,21.3,3.7,1.2,9.3,2.6,1.6,1.2,1.5,0,4.5,1.6,0.5,3.75,0.67,0.28,2.16,1.18,0.28,91.94,2.67583,3.56E+14
CL5_399891247CCS_F0030530CCAM02027P3.CSV,27,27,Link,51.6,5,0.8,0.74,0.43,0.04,22.9,3.8,1.1,4,1.9,2.6,1,1.5,0.3,6.7,2.2,0.3,4.71,0.83,0.26,1.87,1.15,0.17,93.52,2.67583,2.43E+14
CL5_399891343CCS_F0030530CCAM02027P3.CSV,27,27,Link,49.8,5,2.4,1.34,0.57,0.56,19.5,3.7,1.4,15.6,3.5,3.1,1.2,1.5,0.1,4,1.4,1.3,3.53,0.65,0.87,1.57,1.08,0.06,96.61,2.67583,4.52E+14
CL5_400331689CCS_F0040000CCAM02032P3.CSV,32,32,Pekanatui,44.3,5.1,1.1,1.23,0.55,0.13,12.1,3.6,1,17.9,3.9,0.7,2.9,1.6,0.1,10.3,2.9,1.4,3.42,0.65,0.18,0.5,0.66,0.04,92.58,2.95496,9.35E+14
CL5_400331785CCS_F0040000CCAM02032P3.CSV,32,32,Pekanatui,42.9,5.2,1,1.83,0.71,0.22,12.6,3.6,0.7,19.9,4.2,1.1,2.4,1.6,0.2,7.5,2.4,0.6,3.56,0.66,0.18,0.54,0.67,0.04,91.18,2.95496,1.13E+15
CL5_400331881CCS_F0040000CCAM02032P3.CSV,32,32,Pekanatui,46.6,5,1.2,1.43,0.6,0.13,14.1,3.6,0.7,17.8,3.9,0.3,2.7,1.6,0.1,7.5,2.4,0.6,3.45,0.65,0.13,0.48,0.65,0.03,94.08,2.95496,9.91E+14
CL5_400331978CCS_F0040000CCAM02032P3.CSV,32,32,Pekanatui,44.2,5.1,0.4,2.82,1.09,0.11,13.1,3.6,0.4,17.4,3.8,0.3,2.1,1.6,0.1,6.1,2,0.4,4.54,0.79,0.15,0.9,0.82,0.04,91.18,2.95496,8.33E+14
CL5_400332074CCS_F0040000CCAM02032P3.CSV,32,32,Pekanatui,41.3,5.3,0.6,1.71,0.68,0.11,6.3,3.2,0.4,20,4.2,0.9,5,1.9,0.3,7.4,2.4,0.5,2.24,0.62,0.17,0.27,0.58,0.04,84.24,2.95496,1.17E+15
CL5_400332740CCS_F0040000CCAM03032P3.CSV,32,32,Taltheilei,53.5,5.1,0.4,0.74,0.43,0.01,18.5,3.7,0.7,9.5,2.6,0.5,1.8,1.5,0.3,7.5,2.4,0.3,5.74,1,0.16,0.52,0.67,0.05,97.89,2.50875,5.19E+14
CL5_400332836CCS_F0040000CCAM03032P3.CSV,32,32,Taltheilei,54.5,5.1,0.9,0.63,0.4,0.02,11.9,3.6,0.3,12.9,3.1,1.5,4.5,1.8,0.2,9.5,2.8,0.5,2.84,0.62,0.18,0.35,0.61,0.03,97.29,2.50875,6.18E+14
CL5_400332932CCS_F0040000CCAM03032P3.CSV,32,32,Taltheilei,45.1,5,0.3,1.53,0.62,0.05,17.6,3.7,1.1,18.6,4,0.5,2.7,1.6,0.2,7.6,2.4,0.4,3.74,0.67,0.17,0.32,0.6,0.02,97.15,2.50875,7.90E+14
CL5_400333029CCS_F0040000CCAM03032P3.CSV,32,32,Taltheilei,59.3,5.3,0.7,0.7,0.42,0.01,17.1,3.7,0.3,5.8,2.1,1.4,2.4,1.6,0.1,5.8,1.9,0.1,5.24,0.93,0.31,1.64,1.1,0.15,97.93,2.50875,4.37E+14
CL5_400333125CCS_F0040000CCAM03032P3.CSV,32,32,Taltheilei,51.9,5,0.6,0.73,0.43,0.01,19.9,3.7,0.7,8.8,2.5,1,1.8,1.5,0.3,9,2.7,0.3,5.3,0.94,0.21,0.36,0.61,0.04,97.9,2.50875,4.86E+14
CL5_400422236CCS_F0040000CCAM04033P3.CSV,33,33,Beaulieu,43,5.1,1.4,0.83,0.46,0.16,8.1,3.4,0.7,18.6,4,1,9.1,2.5,0.8,7.6,2.4,0.8,1.88,0.64,0.23,0.18,0.55,0.05,89.33,3.14263,4.14E+14
CL5_400422333CCS_F0040000CCAM04033P3.CSV,33,33,Beaulieu,55.2,5.1,0.5,0.74,0.43,0.01,21,3.7,0.2,2.5,1.8,0.3,2.1,1.6,0.1,9.8,2.9,0.1,6.72,1.1,0.12,1.72,1.12,0.12,99.85,3.14263,5.00E+14
CL5_400422430CCS_F0040000CCAM04033P3.CSV,33,33,Beaulieu,60.5,5.3,0.3,0.69,0.42,0.03,17.6,3.7,1,1.8,1.7,1,1.7,1.5,0.2,4.5,1.6,0.2,6.07,1.03,0.14,3.05,1.16,0.3,95.95,3.14263,4.55E+14
CL5_400422527CCS_F0040000CCAM04033P3.CSV,33,33,Beaulieu,66.1,5.4,1.1,0.64,0.4,0.01,20.4,3.7,0.3,0.5,1.6,0.3,1.2,1.5,0.1,4.8,1.6,0.2,4.11,0.71,0.37,0.38,0.62,0.05,98.1,3.14263,2.78E+14
CL5_400422624CCS_F0040000CCAM04033P3.CSV,33,33,Beaulieu,50.9,5,1.1,1.05,0.5,0.04,13.4,3.6,1.1,20.3,4.3,0.4,3.6,1.7,0.3,5.8,1.9,0.3,3.32,0.64,0.34,0.33,0.6,0.04,98.71,3.14263,5.39E+14
CL5_401308018CCS_F0041632CCAM03043P3.CSV,43,43,Kam,53.9,5.1,0.5,0.78,0.44,0.01,17.4,3.7,0.7,9.6,2.6,0.9,2.9,1.6,0.2,10.8,3,0.4,5.33,0.95,0.29,0.69,0.74,0.05,101.35,3.47127,5.55E+14
CL5_401308095CCS_F0041632CCAM03043P3.CSV,43,43,Kam,43,5.1,1.7,1.08,0.51,0.18,9.6,3.5,1,19.2,4.1,0.4,6.3,2,1.6,7.6,2.4,0.9,1.97,0.63,0.33,0.22,0.56,0.08,88.97,3.47127,5.34E+14
CL5_401308172CCS_F0041632CCAM03043P3.CSV,43,43,Kam,50.6,5,1,0.92,0.48,0.1,18.7,3.7,1.8,15.8,3.5,1,6.3,2,0.5,9.3,2.8,0.3,3.09,0.63,0.33,0.41,0.63,0.09,105.08,3.47127,2.08E+14
CL5_401308287CCS_F0041632CCAM03043P3.CSV,43,43,Kam,46,5,0.6,1.2,0.54,0.03,10.6,3.5,0.3,20.4,4.3,0.4,5,1.9,0.1,7,2.3,0.1,3.13,0.63,0.08,0.4,0.62,0.02,93.86,3.47127,7.09E+14
CL5_401308364CCS_F0041632CCAM03043P3.CSV,43,43,Kam,55.6,5.1,0.5,0.23,0.26,0.27,22.4,3.8,0.2,0.2,1.6,0.5,2.1,1.6,0.1,10.1,2.9,0.1,6.33,1.06,0.13,0.56,0.68,0.04,97.49,3.47127,3.99E+14
CL5_401308441CCS_F0041632CCAM03043P3.CSV,43,43,Kam,52.1,5,1.6,0.77,0.44,0.07,18.7,3.7,1.4,13.3,3.1,1.8,3.2,1.7,0.6,9,2.7,0.6,4.35,0.75,0.68,0.35,0.61,0.04,101.75,3.47127,2.53E+14
CL5_401308557CCS_F0041632CCAM03043P3.CSV,43,43,Kam,52.7,5,0.5,0,0.2,0.1,27.7,4,0.5,0,1.6,0,0.3,1.4,0.1,11,3,0.1,6.77,1.11,0.17,1.32,1,0.07,99.82,3.47127,1.46E+14
CL5_401308634CCS_F0041632CCAM03043P3.CSV,43,43,Kam,40.5,5.4,5,0.91,0.47,0.31,9.3,3.5,0.9,21.1,4.4,1,7.8,2.2,0.8,6.1,2,0.6,2.12,0.62,0.37,0.4,0.62,0.15,88.25,3.47127,9.74E+13
CL5_401308712CCS_F0041632CCAM03043P3.CSV,43,43,Kam,55,5.1,0.4,0.92,0.48,0.02,21.3,3.7,0.5,10.2,2.7,0.8,0.8,1.5,0.1,7.7,2.4,0.1,6.96,1.13,0.1,1.37,1.02,0.09,104.26,3.47127,2.77E+14
CL5_401484238CCS_F0042002CCAM01045P3.CSV,45,45,Jake,48.9,4.9,0.7,0.63,0.4,0.01,16.5,3.7,1.5,21.4,4.4,0.3,7.3,2.2,0.6,1.8,1,0.3,4.97,0.88,0.41,0.92,0.83,0.08,102.35,3.88307,5.81E+14
CL5_401484309CCS_F0042002CCAM01045P3.CSV,45,45,Jake,36.5,6,0.7,4.4,1.93,0.49,7,3.3,0.3,30.9,5.1,0.9,3.2,1.7,0.1,5.3,1.8,0.6,2.2,0.62,0.11,0.38,0.62,0.04,89.82,3.88307,2.11E+15
CL5_401484379CCS_F0042002CCAM01045P3.CSV,45,45,Jake,53,5.1,0.6,1,0.49,0.06,18.9,3.7,0.2,13.9,3.2,1.2,1.2,1.5,0.1,5.3,1.8,0.2,6.66,1.1,0.47,1.39,1.02,0.2,101.42,3.87303,5.59E+14
CL5_401484552CCS_F0042002CCAM01045P3.CSV,45,45,Jake,51.9,5,0.9,0.84,0.46,0.02,16.5,3.7,0.5,17.1,3.7,0.7,5,1.9,0.5,5.3,1.8,0.7,4.13,0.71,0.3,1.11,0.91,0.1,101.93,3.87303,5.69E+14
CL5_401484623CCS_F0042002CCAM01045P3.CSV,45,45,Jake,46.2,5,0.8,0.83,0.46,0.02,12.6,3.6,0.9,18.3,3.9,0.4,5.6,1.9,0.1,9.4,2.8,0.7,3.07,0.63,0.22,0.67,0.73,0.06,96.71,3.8759,7.29E+14
CL5_401752504CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,50.3,5,0.7,0.84,0.46,0.04,17.2,3.7,0.3,14.1,3.3,0.6,2.8,1.6,0.2,8.7,2.7,0.7,5.64,0.99,0.23,1.21,0.96,0.2,100.81,3.19452,6.05E+14
CL5_401752575CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,41,5.3,0.5,1.77,0.69,0.1,12.8,3.6,0.8,21.4,4.4,0.7,3,1.7,0.1,6.8,2.2,0.4,4.47,0.78,0.16,0.81,0.79,0.12,92.12,3.19452,1.11E+15
CL5_401752644CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,51.1,5,0.7,0.95,0.48,0.14,16.9,3.7,0.5,17.6,3.8,1.2,2.9,1.6,0.8,5.9,2,1.4,4.95,0.88,0.38,1.49,1.06,0.16,101.79,3.19452,6.60E+14
CL5_401752758CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,43.4,5.1,1.3,0.88,0.47,0.1,10.7,3.5,1,18.5,4,0.8,4.5,1.8,0.3,11.4,3.1,0.5,3.47,0.65,0.31,0.64,0.71,0.07,93.52,3.19452,8.19E+14
CL5_401752827CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,55,5.1,0.3,0.81,0.45,0.01,18.1,3.7,0.6,10.4,2.7,0.9,1.3,1.5,0.2,4.4,1.5,0.9,7.53,1.19,0.66,2.59,1.18,0.16,100.02,3.20137,5.18E+14
CL5_401752999CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,41.4,5.3,0.5,1.39,0.59,0.06,13.7,3.6,1,21.3,4.4,0.6,3.1,1.7,0.1,9,2.7,0.5,4.32,0.75,0.32,0.57,0.69,0.1,94.74,3.20137,1.10E+15
CL5_401753117CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,46.8,5,0.7,1.3,0.56,0.07,16.9,3.7,0.5,18.8,4,0.4,2.5,1.6,0.3,6.8,2.2,0.4,4.98,0.89,0.16,1.42,1.03,0.12,99.45,3.20137,7.78E+14
CL5_401753186CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,41,5.3,1,1.27,0.56,0.05,11.7,3.6,0.6,20.4,4.3,0.3,4.1,1.8,0.1,9.2,2.8,0.6,3.94,0.69,0.22,0.5,0.66,0.06,92.14,3.20137,9.54E+14
CL5_401753255CCS_F0042106CCAM01048P3.CSV,48,48,Jake_1,44.6,5,0.6,0.72,0.43,0.01,9,3.5,2.6,16.7,3.7,0.4,5.3,1.9,0.4,15.8,3.5,1.4,2.74,0.61,0.65,0.49,0.66,0.18,95.44,3.21812,4.62E+14
CL5_401839931CCS_F0042644CCAM02049P3.CSV,49,49,Anton,53.5,5.1,0.5,1.03,0.5,0.09,16,3.7,0.5,15.3,3.4,0.4,2.6,1.6,0.1,6.1,2,0.5,5,0.89,0.18,1.03,0.88,0.12,100.64,3.08508,5.24E+14
CL5_401840001CCS_F0042644CCAM02049P3.CSV,49,49,Anton,49.7,5,0.4,0.72,0.43,0.04,14.8,3.6,1,13.2,3.1,0.3,10.5,2.7,0.6,6.3,2.1,0.3,2.97,0.62,0.12,0.59,0.69,0.03,98.87,3.08508,5.40E+14
CL5_401840070CCS_F0042644CCAM02049P3.CSV,49,49,Anton,46.9,5,0.6,1.51,0.62,0.06,11.8,3.6,0.3,17.3,3.8,0.4,7.2,2.1,0.2,6.6,2.2,0.3,3.55,0.66,0.08,0.72,0.75,0.03,95.64,3.08508,8.61E+14
CL5_401840139CCS_F0042644CCAM02049P3.CSV,49,49,Anton,48.2,4.9,1.2,0.87,0.47,0.1,13.8,3.6,1.9,16.6,3.6,1.7,8.3,2.3,0.9,8,2.5,0.5,2.4,0.61,0.28,0.32,0.6,0.08,98.55,3.08508,2.79E+14
CL5_401840209CCS_F0042644CCAM02049P3.CSV,49,49,Anton,53.7,5.1,0.5,0.76,0.44,0.01,18.8,3.7,0.3,11.4,2.9,0.6,0.9,1.5,0.1,6.7,2.2,0.1,6.53,1.08,0.2,0.56,0.68,0.03,99.25,3.08508,4.20E+14
