Observation,Sol,NoParenSol,Target_Name,Silicon_Oxide(SiO2),RMSE_Silicon_Oxide,Silicon_Oxide_StDEV,Titanium_Oxide(TiO2),RMSE_Titanium_Oxide,Titanium_Oxide_StDEV,Aluminum_Oxide(AI2O3),RMSE_Aluminum_Oxide,Aluminum_Oxide_StDEV,Iron_Oxides_Total(FeOT),RMSE_Iron_Oxide_Total,Iron_Oxide_Total_StDEV,Magnesium_Oxide(MgO),RMSE_Magnesium_Oxide,Magnesium_Oxide_StDEV,Calcium_Oxide(CaO),RMSE_Calcium_Oxide,Calcium_Oxide_StDEV,Sodium_Oxide(Na2O),RMSE_Sodium_Oxide,Sodium_Oxide_StDEV,Potassium_Oxide(K2O),RMSE_Potassium_Oxide,Potassium_Oxide_StDEV,Sum_of_Oxides,Distance_Rover_m,Spectrum_Total
CL5_426251967CCS_F0060804CCAM01324P3.CSV,324,324,Howells,43.8,5.1,1,0.84,0.46,0.02,8.1,3.4,0.8,20.3,4.3,0.8,8.8,2.4,0.6,7.2,2.3,0.5,2.03,0.63,0.2,0.61,0.7,0.12,91.64,2.28169,2.95E+14
CL5_426252032CCS_F0060804CCAM01324P3.CSV,324,324,Howells,43.1,5.1,0.4,0.71,0.42,0.02,4.9,3,0.4,21.8,4.4,0.2,7.5,2.2,0.3,9.4,2.8,0.4,1.28,0.62,0.08,1.24,0.97,0.13,89.86,2.28169,3.05E+14
CL5_426252152CCS_F0060804CCAM01324P3.CSV,324,324,Howells,44.6,5,2.4,0.95,0.48,0.12,10.2,3.5,1.9,21.8,4.4,0.7,9.8,2.6,3.8,4.1,1.4,1.7,2.11,0.62,0.4,0.43,0.63,0.18,94.04,2.2832,2.48E+14
CL5_426252320CCS_F0060804CCAM01324P3.CSV,324,324,Howells,45.9,5,1.1,1.29,0.56,0.07,10,3.5,0.4,21.1,4.4,0.2,8.3,2.3,0.5,1.9,1,0.2,3.23,0.63,0.14,1.05,0.89,0.14,92.72,2.2832,5.22E+14
CL5_426252386CCS_F0060804CCAM01324P3.CSV,324,324,Howells,55.2,5.1,0.5,1.09,0.51,0.05,18.9,3.7,0.6,13.7,3.2,1.1,1.7,1.5,0.3,5,1.7,0.2,4.83,0.85,0.2,1.27,0.98,0.12,101.68,2.2832,2.28E+14
CL5_426252452CCS_F0060804CCAM01324P3.CSV,324,324,Howells,38.7,5.6,0.8,1.61,0.65,0.1,8.8,3.5,0.2,23.6,4.6,0.9,6.5,2,0.3,4.4,1.5,0.2,2.51,0.61,0.14,0.76,0.76,0.07,86.87,2.2832,3.73E+14
CL5_426252518CCS_F0060804CCAM01324P3.CSV,324,324,Howells,45.4,5,0.9,1.02,0.5,0.08,9.1,3.5,0.6,22,4.5,0.6,5.4,1.9,0.3,8.1,2.5,1.3,2.65,0.61,0.19,1.01,0.87,0.16,94.73,2.2832,3.43E+14
CL5_426252786CCS_F0060804CCAM01324P3.CSV,324,324,Howells,55.2,5.1,1.4,0.87,0.47,0.04,14.5,3.6,0.6,17.6,3.8,0.7,4.8,1.8,0.4,3.9,1.4,0.7,3.88,0.68,0.31,1.2,0.95,0.16,101.98,2.28773,2.88E+14
CL5_426252863CCS_F0060804CCAM01324P3.CSV,324,324,Howells,48.9,4.9,1.8,1.07,0.51,0.09,11.1,3.5,0.9,21.4,4.4,0.6,5.2,1.9,0.3,5.9,2,0.8,2.78,0.61,0.25,0.93,0.84,0.19,97.33,2.28773,3.88E+14
CL5_426252928CCS_F0060804CCAM01324P3.CSV,324,324,Howells,46.1,5,1.1,1.14,0.52,0.08,10.2,3.5,0.6,20.7,4.3,0.5,6.5,2.1,0.7,4.4,1.5,0.6,2.76,0.61,0.13,0.85,0.8,0.12,92.71,2.28773,5.13E+14
