frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,sclk,sol
ROVER,5,388,-1,-28.466,418.603,17.26,-272067.734,8147229.826,-4.589947235,-4.644223917,137.4486951,-4518.3,2214.94,24767.3,554.66,6192.33,8.228,3.969,87.841,406553432,102
ROVER,5,432,-1,-26.937,417.459,17.19,-272066.205,8147228.682,-4.58992144,-4.644197819,137.4486758,-4518.23,2208.82,24762.73,553.13,6191.19,4.87,5.688,56.201,407351736,111
ROVER,5,742,-1,-57.824,426.595,17.22,-272097.092,8147237.818,-4.590442522,-4.64472501,137.4488299,-4518.26,2332.37,24799.27,584.02,6200.33,0.688,-3.855,45.57,408149150,120
ROVER,5,926,-1,-48.269,443.052,17.62,-272087.537,8147254.275,-4.590281324,-4.644561921,137.4491076,-4518.66,2294.15,24865.1,574.46,6216.78,1.958,1.464,23.891,408240916,121
ROVER,5,938,-1,-47.873,443.865,17.63,-272087.141,8147255.088,-4.590274643,-4.644555162,137.4491213,-4518.67,2292.56,24868.35,574.07,6217.6,3.414,-2.654,65.281,408324413,122
ROVER,5,1070,-1,-34.8,457.379,18.74,-272074.068,8147268.602,-4.590054093,-4.644332028,137.4493493,-4519.78,2240.27,24922.41,560.99,6231.11,-3.052,-5.921,36.898,408415701,123
ROVER,5,1216,-1,-23.607,453.109,18.93,-272062.875,8147264.332,-4.589865261,-4.644140982,137.4492772,-4519.97,2195.5,24905.33,549.8,6226.84,-1.366,-6.431,32.927,408503877,124
ROVER,5,1398,-1,-10.06,456.273,19.85,-272049.328,8147267.496,-4.589636715,-4.643909756,137.4493306,-4520.89,2141.31,24917.98,536.25,6230,1.428,3.078,-90.19,408589843,125
ROVER,5,1576,-1,14.03,459.402,20.28,-272025.238,8147270.625,-4.589230302,-4.64349858,137.4493834,-4521.32,2044.95,24930.5,512.16,6233.13,3.482,-2.944,45.434,408771786,127
ROVER,5,1662,-1,19.567,459.673,19.95,-272019.701,8147270.896,-4.589136889,-4.643404072,137.449388,-4520.99,2022.8,24931.58,506.63,6233.4,1.064,6.92,-35.944,409036697,130
